id,width,height,initialFrame,finalFrame,numFrames,class,drivingDirection,traveledDistance,minXVelocity,maxXVelocity,meanXVelocity,minDHW,minTHW,minTTC,numLaneChanges
1,4.35,1.82,1,42,42,Car,2,43.05,26.08,26.66,26.37,-1.00,-1.00,-1.00,0
2,4.85,1.92,1,53,53,Car,1,56.52,26.91,27.62,27.25,18.79,0.69,93.88,0
3,4.85,1.92,1,73,73,Car,1,79.08,26.99,28.05,27.52,16.54,0.59,112.01,0
4,4.65,1.82,1,97,97,Car,1,104.34,26.82,27.92,27.25,20.72,0.77,-1.00,0
5,4.75,1.82,1,119,119,Car,1,123.05,25.72,27.35,26.13,14.06,0.52,26.83,0
6,15.66,2.50,1,122,122,Truck,1,115.08,23.63,23.89,23.79,-1.00,-1.00,-1.00,0
7,8.39,2.50,1,124,124,Truck,2,126.48,25.20,26.35,25.74,74.96,2.97,-1.00,0
8,5.15,2.02,1,125,125,Car,2,231.48,44.77,48.90,46.76,-1.00,-1.00,-1.00,0
9,3.94,1.72,1,148,148,Car,1,158.01,25.53,28.10,26.89,25.68,0.98,18.43,0
10,4.55,1.72,1,165,165,Car,1,169.11,25.40,26.62,25.81,39.91,1.56,17.23,0
11,5.05,1.92,1,170,170,Car,1,183.89,25.81,28.38,27.21,18.08,0.69,25.83,0
12,12.43,2.43,1,209,209,Car,2,266.72,30.67,33.19,32.08,98.14,3.03,16.31,0
13,4.55,1.82,1,232,232,Car,2,298.68,30.99,33.71,32.34,27.11,0.81,86.51,0
14,4.65,1.82,1,245,245,Car,1,301.04,28.86,31.68,30.87,89.93,2.86,16.10,0
15,3.94,1.72,1,264,264,Car,2,331.89,30.57,32.85,31.57,29.04,0.95,-1.00,0
16,4.55,1.92,1,267,267,Car,2,399.19,34.81,40.67,37.54,163.33,4.69,-1.00,0
17,9.30,2.58,1,267,267,Car,1,277.91,25.25,27.63,26.13,94.66,3.60,86.30,0
18,4.65,1.92,1,272,272,Car,1,309.98,27.66,29.89,28.62,11.33,0.41,-1.00,0
19,4.35,1.72,1,316,316,Car,2,395.29,29.12,33.49,31.39,58.65,1.95,181.22,0
20,16.98,2.50,1,326,326,Truck,1,310.82,23.13,24.69,23.92,15.94,0.64,-1.00,0
21,4.75,1.82,2,32,31,Car,1,32.45,27.12,27.44,27.28,-1.00,-1.00,-1.00,0
22,6.16,2.12,16,297,282,Car,2,408.80,34.86,38.13,36.39,24.82,0.71,-1.00,0
23,4.75,1.82,99,396,298,Car,2,410.60,33.04,36.55,34.59,110.10,3.11,46.40,0
